ID,UPA,EventDate,Employer,Address1,Address2,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Loss of Eye,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title,FederalState
SYN-SI-0065,SYN-UPA-05,2026-01-27,Synthetic Site E,165 Synthetic Industrial Road,Unit 5,Tinsukia,Assam,786125,26.005,94.095,211120,Yes,Yes,No,SYN-INSP-0065,A worker was performing scaffolding when fall from elevation caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,3,Fall from elevation,6,Scaffold,10,Work at Height related control,State
SYN-SI-0066,SYN-UPA-06,2026-02-02,Synthetic Plant West,166 Synthetic Industrial Road,Unit 6,Vadodara,Gujarat,390001,26.022,94.018,211120,Yes,No,No,SYN-INSP-0066,"While carrying out roof maintenance, the employee encountered fall from elevation. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,4,Fall from elevation,7,Roof / elevated surface,11,Work at Height related control,State
SYN-SI-0067,SYN-UPA-07,2026-03-05,Synthetic Site A,167 Synthetic Industrial Road,Unit 7,Duliajan,Assam,786602,26.039,94.041,211120,Yes,No,Yes,SYN-INSP-0067,"During planned maintenance involving crane lifting, suspended load was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,5,Struck by object,8,Crane / lifting equipment,12,Safe Mechanical Lifting related control,State
SYN-SI-0068,SYN-UPA-08,2026-04-08,Synthetic Site B,168 Synthetic Industrial Road,Unit 8,Guwahati,Assam,781001,26.056,94.064,211120,Yes,No,No,SYN-INSP-0068,"During material handling, a worker was exposed to struck-by moving object. The required line of fire control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,6,Struck by object,9,Material / equipment,13,Line of Fire related control,State
SYN-SI-0069,SYN-UPA-09,2026-05-11,Synthetic Site C,169 Synthetic Industrial Road,Unit 9,Jorhat,Assam,785001,26.073,94.087,211120,Yes,No,No,SYN-INSP-0069,A worker was performing forklift operation when vehicle-pedestrian interaction caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,7,Vehicle incident,10,Powered industrial truck,14,Driving related control,State
SYN-SI-0070,SYN-UPA-10,2026-06-14,Synthetic Site D,170 Synthetic Industrial Road,Unit 10,Digboi,Assam,786171,26.09,94.01,211120,Yes,No,No,SYN-INSP-0070,"While carrying out excavation, the employee encountered cave-in. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,8,Cave-in,11,Excavation / soil,15,Excavation related control,State
SYN-SI-0071,SYN-UPA-11,2026-07-17,Synthetic Site E,171 Synthetic Industrial Road,Unit 11,Tinsukia,Assam,786125,26.007,94.033,211120,Yes,No,No,SYN-INSP-0071,"During planned maintenance involving pipeline maintenance, stored pressure was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,9,Caught in/between,12,Pipeline,1,Energy Isolation related control,State
SYN-SI-0072,SYN-UPA-12,2026-08-20,Synthetic Plant West,172 Synthetic Industrial Road,Unit 12,Vadodara,Gujarat,390001,26.024,94.056,211120,Yes,No,No,SYN-INSP-0072,"During valve maintenance, a worker was exposed to unexpected release. The required energy isolation control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,1,Exposure to harmful substance,13,Process valve,2,Energy Isolation related control,State
SYN-SI-0073,SYN-UPA-01,2026-01-23,Synthetic Site A,173 Synthetic Industrial Road,Unit 13,Duliajan,Assam,786602,26.041,94.079,211120,Yes,Yes,No,SYN-INSP-0073,A worker was performing chemical transfer when toxic chemical exposure caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,2,Exposure to harmful substance,14,Chemical container / line,3,Hazardous Substances related control,State
SYN-SI-0074,SYN-UPA-02,2026-02-26,Synthetic Site B,174 Synthetic Industrial Road,Unit 14,Guwahati,Assam,781001,26.058,94.002,211120,Yes,No,No,SYN-INSP-0074,"While carrying out grinding, the employee encountered flying particles. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,3,Struck by object,15,Grinding equipment,4,Line of Fire related control,State
SYN-SI-0075,SYN-UPA-03,2026-03-01,Synthetic Site C,175 Synthetic Industrial Road,Unit 15,Jorhat,Assam,785001,26.075,94.025,211120,Yes,No,Yes,SYN-INSP-0075,"During planned maintenance involving welding, arc flash / fire was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,4,Fire or explosion,1,Welding equipment,5,Hot Work related control,State
SYN-SI-0076,SYN-UPA-04,2026-04-04,Synthetic Site D,176 Synthetic Industrial Road,Unit 16,Digboi,Assam,786171,26.092,94.048,211120,Yes,No,No,SYN-INSP-0076,"During confined space entry, a worker was exposed to toxic gas / oxygen deficiency. The required confined space control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,5,Exposure to harmful substance,2,Vessel / confined space,6,Confined Space related control,State
SYN-SI-0077,SYN-UPA-05,2026-05-07,Synthetic Site E,177 Synthetic Industrial Road,Unit 17,Tinsukia,Assam,786125,26.009,94.071,211120,Yes,No,No,SYN-INSP-0077,A worker was performing electrical maintenance when unexpected electrical energy caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,6,Contact with electrical energy,3,Electrical equipment,7,Energy Isolation related control,State
SYN-SI-0078,SYN-UPA-06,2026-06-10,Synthetic Plant West,178 Synthetic Industrial Road,Unit 18,Vadodara,Gujarat,390001,26.026,94.094,211120,Yes,No,No,SYN-INSP-0078,"While carrying out pump maintenance, the employee encountered stored mechanical energy. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,7,Caught in/between,4,Pump / rotating equipment,8,Energy Isolation related control,State
SYN-SI-0079,SYN-UPA-07,2026-07-13,Synthetic Site A,179 Synthetic Industrial Road,Unit 19,Duliajan,Assam,786602,26.043,94.017,211120,Yes,No,No,SYN-INSP-0079,"During planned maintenance involving hot work, flammable vapor was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,8,Fire or explosion,5,Welding / cutting equipment,9,Hot Work related control,State
SYN-SI-0080,SYN-UPA-08,2026-08-16,Synthetic Site B,180 Synthetic Industrial Road,Unit 20,Guwahati,Assam,781001,26.06,94.04,211120,Yes,No,No,SYN-INSP-0080,"During scaffolding, a worker was exposed to fall from elevation. The required work at height control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,9,Fall from elevation,6,Scaffold,10,Work at Height related control,State
SYN-SI-0081,SYN-UPA-09,2026-01-19,Synthetic Site C,181 Synthetic Industrial Road,Unit 1,Jorhat,Assam,785001,26.077,94.063,211120,Yes,Yes,No,SYN-INSP-0081,A worker was performing roof maintenance when fall from elevation caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,1,Fall from elevation,7,Roof / elevated surface,11,Work at Height related control,State
SYN-SI-0082,SYN-UPA-10,2026-02-22,Synthetic Site D,182 Synthetic Industrial Road,Unit 2,Digboi,Assam,786171,26.094,94.086,211120,Yes,No,No,SYN-INSP-0082,"While carrying out crane lifting, the employee encountered suspended load. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,2,Struck by object,8,Crane / lifting equipment,12,Safe Mechanical Lifting related control,State
SYN-SI-0083,SYN-UPA-11,2026-03-25,Synthetic Site E,183 Synthetic Industrial Road,Unit 3,Tinsukia,Assam,786125,26.011,94.009,211120,Yes,No,Yes,SYN-INSP-0083,"During planned maintenance involving material handling, struck-by moving object was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,3,Struck by object,9,Material / equipment,13,Line of Fire related control,State
SYN-SI-0084,SYN-UPA-12,2026-04-28,Synthetic Plant West,184 Synthetic Industrial Road,Unit 4,Vadodara,Gujarat,390001,26.028,94.032,211120,Yes,No,No,SYN-INSP-0084,"During forklift operation, a worker was exposed to vehicle-pedestrian interaction. The required driving control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,4,Vehicle incident,10,Powered industrial truck,14,Driving related control,State
SYN-SI-0085,SYN-UPA-01,2026-05-03,Synthetic Site A,185 Synthetic Industrial Road,Unit 5,Duliajan,Assam,786602,26.045,94.055,211120,Yes,No,No,SYN-INSP-0085,A worker was performing excavation when cave-in caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,5,Cave-in,11,Excavation / soil,15,Excavation related control,State
SYN-SI-0086,SYN-UPA-02,2026-06-06,Synthetic Site B,186 Synthetic Industrial Road,Unit 6,Guwahati,Assam,781001,26.062,94.078,211120,Yes,No,No,SYN-INSP-0086,"While carrying out pipeline maintenance, the employee encountered stored pressure. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,6,Caught in/between,12,Pipeline,1,Energy Isolation related control,State
SYN-SI-0087,SYN-UPA-03,2026-07-09,Synthetic Site C,187 Synthetic Industrial Road,Unit 7,Jorhat,Assam,785001,26.079,94.001,211120,Yes,No,No,SYN-INSP-0087,"During planned maintenance involving valve maintenance, unexpected release was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,7,Exposure to harmful substance,13,Process valve,2,Energy Isolation related control,State
SYN-SI-0088,SYN-UPA-04,2026-08-12,Synthetic Site D,188 Synthetic Industrial Road,Unit 8,Digboi,Assam,786171,26.096,94.024,211120,Yes,No,No,SYN-INSP-0088,"During chemical transfer, a worker was exposed to toxic chemical exposure. The required hazardous substances control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,8,Exposure to harmful substance,14,Chemical container / line,3,Hazardous Substances related control,State
SYN-SI-0089,SYN-UPA-05,2026-01-15,Synthetic Site E,189 Synthetic Industrial Road,Unit 9,Tinsukia,Assam,786125,26.013,94.047,211120,Yes,Yes,No,SYN-INSP-0089,A worker was performing grinding when flying particles caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,9,Struck by object,15,Grinding equipment,4,Line of Fire related control,State
SYN-SI-0090,SYN-UPA-06,2026-02-18,Synthetic Plant West,190 Synthetic Industrial Road,Unit 10,Vadodara,Gujarat,390001,26.03,94.07,211120,Yes,No,No,SYN-INSP-0090,"While carrying out welding, the employee encountered arc flash / fire. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,1,Fire or explosion,1,Welding equipment,5,Hot Work related control,State
SYN-SI-0091,SYN-UPA-07,2026-03-21,Synthetic Site A,191 Synthetic Industrial Road,Unit 11,Duliajan,Assam,786602,26.047,94.093,211120,Yes,No,Yes,SYN-INSP-0091,"During planned maintenance involving confined space entry, toxic gas / oxygen deficiency was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,2,Exposure to harmful substance,2,Vessel / confined space,6,Confined Space related control,State
SYN-SI-0092,SYN-UPA-08,2026-04-24,Synthetic Site B,192 Synthetic Industrial Road,Unit 12,Guwahati,Assam,781001,26.064,94.016,211120,Yes,No,No,SYN-INSP-0092,"During electrical maintenance, a worker was exposed to unexpected electrical energy. The required energy isolation control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,3,Contact with electrical energy,3,Electrical equipment,7,Energy Isolation related control,State
SYN-SI-0093,SYN-UPA-09,2026-05-27,Synthetic Site C,193 Synthetic Industrial Road,Unit 13,Jorhat,Assam,785001,26.081,94.039,211120,Yes,No,No,SYN-INSP-0093,A worker was performing pump maintenance when stored mechanical energy caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,4,Caught in/between,4,Pump / rotating equipment,8,Energy Isolation related control,State
SYN-SI-0094,SYN-UPA-10,2026-06-02,Synthetic Site D,194 Synthetic Industrial Road,Unit 14,Digboi,Assam,786171,26.098,94.062,211120,Yes,No,No,SYN-INSP-0094,"While carrying out hot work, the employee encountered flammable vapor. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,5,Fire or explosion,5,Welding / cutting equipment,9,Hot Work related control,State
SYN-SI-0095,SYN-UPA-11,2026-07-05,Synthetic Site E,195 Synthetic Industrial Road,Unit 15,Tinsukia,Assam,786125,26.015,94.085,211120,Yes,No,No,SYN-INSP-0095,"During planned maintenance involving scaffolding, fall from elevation was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,6,Fall from elevation,6,Scaffold,10,Work at Height related control,State
SYN-SI-0096,SYN-UPA-12,2026-08-08,Synthetic Plant West,196 Synthetic Industrial Road,Unit 16,Vadodara,Gujarat,390001,26.032,94.008,211120,Yes,No,No,SYN-INSP-0096,"During roof maintenance, a worker was exposed to fall from elevation. The required work at height control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,7,Fall from elevation,7,Roof / elevated surface,11,Work at Height related control,State
SYN-SI-0097,SYN-UPA-01,2026-01-11,Synthetic Site A,197 Synthetic Industrial Road,Unit 17,Duliajan,Assam,786602,26.049,94.031,211120,Yes,Yes,No,SYN-INSP-0097,A worker was performing crane lifting when suspended load caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,8,Struck by object,8,Crane / lifting equipment,12,Safe Mechanical Lifting related control,State
SYN-SI-0098,SYN-UPA-02,2026-02-14,Synthetic Site B,198 Synthetic Industrial Road,Unit 18,Guwahati,Assam,781001,26.066,94.054,211120,Yes,No,No,SYN-INSP-0098,"While carrying out material handling, the employee encountered struck-by moving object. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,9,Struck by object,9,Material / equipment,13,Line of Fire related control,State
SYN-SI-0099,SYN-UPA-03,2026-03-17,Synthetic Site C,199 Synthetic Industrial Road,Unit 19,Jorhat,Assam,785001,26.083,94.077,211120,Yes,No,Yes,SYN-INSP-0099,"During planned maintenance involving forklift operation, vehicle-pedestrian interaction was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,1,Vehicle incident,10,Powered industrial truck,14,Driving related control,State
SYN-SI-0100,SYN-UPA-04,2026-04-20,Synthetic Site D,200 Synthetic Industrial Road,Unit 20,Digboi,Assam,786171,26.0,94.0,211120,Yes,No,No,SYN-INSP-0100,"During excavation, a worker was exposed to cave-in. The required excavation control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,2,Cave-in,11,Excavation / soil,15,Excavation related control,State
SYN-SI-0101,SYN-UPA-05,2026-05-23,Synthetic Site E,201 Synthetic Industrial Road,Unit 1,Tinsukia,Assam,786125,26.017,94.023,211120,Yes,No,No,SYN-INSP-0101,A worker was performing pipeline maintenance when stored pressure caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,3,Caught in/between,12,Pipeline,1,Energy Isolation related control,State
SYN-SI-0102,SYN-UPA-06,2026-06-26,Synthetic Plant West,202 Synthetic Industrial Road,Unit 2,Vadodara,Gujarat,390001,26.034,94.046,211120,Yes,No,No,SYN-INSP-0102,"While carrying out valve maintenance, the employee encountered unexpected release. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,4,Exposure to harmful substance,13,Process valve,2,Energy Isolation related control,State
SYN-SI-0103,SYN-UPA-07,2026-07-01,Synthetic Site A,203 Synthetic Industrial Road,Unit 3,Duliajan,Assam,786602,26.051,94.069,211120,Yes,No,No,SYN-INSP-0103,"During planned maintenance involving chemical transfer, toxic chemical exposure was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,5,Exposure to harmful substance,14,Chemical container / line,3,Hazardous Substances related control,State
SYN-SI-0104,SYN-UPA-08,2026-08-04,Synthetic Site B,204 Synthetic Industrial Road,Unit 4,Guwahati,Assam,781001,26.068,94.092,211120,Yes,No,No,SYN-INSP-0104,"During grinding, a worker was exposed to flying particles. The required line of fire control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,6,Struck by object,15,Grinding equipment,4,Line of Fire related control,State
SYN-SI-0105,SYN-UPA-09,2026-01-07,Synthetic Site C,205 Synthetic Industrial Road,Unit 5,Jorhat,Assam,785001,26.085,94.015,211120,Yes,Yes,No,SYN-INSP-0105,A worker was performing welding when arc flash / fire caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,7,Fire or explosion,1,Welding equipment,5,Hot Work related control,State
SYN-SI-0106,SYN-UPA-10,2026-02-10,Synthetic Site D,206 Synthetic Industrial Road,Unit 6,Digboi,Assam,786171,26.002,94.038,211120,Yes,No,No,SYN-INSP-0106,"While carrying out confined space entry, the employee encountered toxic gas / oxygen deficiency. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,8,Exposure to harmful substance,2,Vessel / confined space,6,Confined Space related control,State
SYN-SI-0107,SYN-UPA-11,2026-03-13,Synthetic Site E,207 Synthetic Industrial Road,Unit 7,Tinsukia,Assam,786125,26.019,94.061,211120,Yes,No,Yes,SYN-INSP-0107,"During planned maintenance involving electrical maintenance, unexpected electrical energy was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,9,Contact with electrical energy,3,Electrical equipment,7,Energy Isolation related control,State
SYN-SI-0108,SYN-UPA-12,2026-04-16,Synthetic Plant West,208 Synthetic Industrial Road,Unit 8,Vadodara,Gujarat,390001,26.036,94.084,211120,Yes,No,No,SYN-INSP-0108,"During pump maintenance, a worker was exposed to stored mechanical energy. The required energy isolation control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,1,Caught in/between,4,Pump / rotating equipment,8,Energy Isolation related control,State
SYN-SI-0109,SYN-UPA-01,2026-05-19,Synthetic Site A,209 Synthetic Industrial Road,Unit 9,Duliajan,Assam,786602,26.053,94.007,211120,Yes,No,No,SYN-INSP-0109,A worker was performing hot work when flammable vapor caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,2,Fire or explosion,5,Welding / cutting equipment,9,Hot Work related control,State
SYN-SI-0110,SYN-UPA-02,2026-06-22,Synthetic Site B,210 Synthetic Industrial Road,Unit 10,Guwahati,Assam,781001,26.07,94.03,211120,Yes,No,No,SYN-INSP-0110,"While carrying out scaffolding, the employee encountered fall from elevation. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,3,Fall from elevation,6,Scaffold,10,Work at Height related control,State
SYN-SI-0111,SYN-UPA-03,2026-07-25,Synthetic Site C,211 Synthetic Industrial Road,Unit 11,Jorhat,Assam,785001,26.087,94.053,211120,Yes,No,No,SYN-INSP-0111,"During planned maintenance involving roof maintenance, fall from elevation was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,4,Fall from elevation,7,Roof / elevated surface,11,Work at Height related control,State
SYN-SI-0112,SYN-UPA-04,2026-08-28,Synthetic Site D,212 Synthetic Industrial Road,Unit 12,Digboi,Assam,786171,26.004,94.076,211120,Yes,No,No,SYN-INSP-0112,"During crane lifting, a worker was exposed to suspended load. The required safe mechanical lifting control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,5,Struck by object,8,Crane / lifting equipment,12,Safe Mechanical Lifting related control,State
SYN-SI-0113,SYN-UPA-05,2026-01-03,Synthetic Site E,213 Synthetic Industrial Road,Unit 13,Tinsukia,Assam,786125,26.021,94.099,211120,Yes,Yes,No,SYN-INSP-0113,A worker was performing material handling when struck-by moving object caused an unexpected event. The worker was within the hazard zone and sustained amputation. Work was stopped and the area was secured.,2,Amputation,2,Hand,6,Struck by object,9,Material / equipment,13,Line of Fire related control,State
SYN-SI-0114,SYN-UPA-06,2026-02-06,Synthetic Plant West,214 Synthetic Industrial Road,Unit 14,Vadodara,Gujarat,390001,26.038,94.022,211120,Yes,No,No,SYN-INSP-0114,"While carrying out forklift operation, the employee encountered vehicle-pedestrian interaction. A safety control was missing or not followed, resulting in laceration. The supervisor initiated the incident response.",3,Laceration,3,Hand,7,Vehicle incident,10,Powered industrial truck,14,Driving related control,State
SYN-SI-0115,SYN-UPA-07,2026-03-09,Synthetic Site A,215 Synthetic Industrial Road,Unit 15,Duliajan,Assam,786602,26.055,94.045,211120,Yes,No,Yes,SYN-INSP-0115,"During planned maintenance involving excavation, cave-in was present. The worker entered the affected area before precautions were verified and sustained chemical burn. The equipment was taken out of service.",4,Chemical burn,4,Eye,8,Cave-in,11,Excavation / soil,15,Excavation related control,State
SYN-SI-0116,SYN-UPA-08,2026-04-12,Synthetic Site B,216 Synthetic Industrial Road,Unit 16,Guwahati,Assam,781001,26.072,94.068,211120,Yes,No,No,SYN-INSP-0116,"During pipeline maintenance, a worker was exposed to stored pressure. The required energy isolation control was not fully established before the task. The employee sustained traumatic injury and received medical attention. The event was reported to site HSE.",5,Traumatic injury,5,Head,9,Caught in/between,12,Pipeline,1,Energy Isolation related control,State
SYN-SI-0117,SYN-UPA-09,2026-05-15,Synthetic Site C,217 Synthetic Industrial Road,Unit 17,Jorhat,Assam,785001,26.089,94.091,211120,Yes,No,No,SYN-INSP-0117,A worker was performing valve maintenance when unexpected release caused an unexpected event. The worker was within the hazard zone and sustained fracture. Work was stopped and the area was secured.,6,Fracture,6,Arm,1,Exposure to harmful substance,13,Process valve,2,Energy Isolation related control,State
SYN-SI-0118,SYN-UPA-10,2026-06-18,Synthetic Site D,218 Synthetic Industrial Road,Unit 18,Digboi,Assam,786171,26.006,94.014,211120,Yes,No,No,SYN-INSP-0118,"While carrying out chemical transfer, the employee encountered toxic chemical exposure. A safety control was missing or not followed, resulting in respiratory impairment. The supervisor initiated the incident response.",7,Respiratory impairment,7,Chest,2,Exposure to harmful substance,14,Chemical container / line,3,Hazardous Substances related control,State
SYN-SI-0119,SYN-UPA-11,2026-07-21,Synthetic Site E,219 Synthetic Industrial Road,Unit 19,Tinsukia,Assam,786125,26.023,94.037,211120,Yes,No,No,SYN-INSP-0119,"During planned maintenance involving grinding, flying particles was present. The worker entered the affected area before precautions were verified and sustained burn. The equipment was taken out of service.",8,Burn,8,Arm,3,Struck by object,15,Grinding equipment,4,Line of Fire related control,State
SYN-SI-0120,SYN-UPA-12,2026-08-24,Synthetic Plant West,220 Synthetic Industrial Road,Unit 20,Vadodara,Gujarat,390001,26.04,94.06,211120,Yes,No,No,SYN-INSP-0120,"During welding, a worker was exposed to arc flash / fire. The required hot work control was not fully established before the task. The employee sustained multiple injuries and received medical attention. The event was reported to site HSE.",1,Multiple injuries,1,Multiple body parts,4,Fire or explosion,1,Welding equipment,5,Hot Work related control,State
